"id","response.chinaCurrency","response.trumpBudget","response.berinskyACA","response.nyhanReifler","response.hksVitaminC","response.hksBioWeapon","response.hksHandWash","response.hksUSCreated","response.demNormsAccept","response.demNormsViol","response.forBornUS","response.forBornCanada","Q47","Q48","Q49","response.olivIraq","response.oliv911","response.olivObama","response.olivContrails","response.olivSoros","Q53.2","lucid_rid","lucid_age","lucid_gender","lucid_hhi","lucid_race","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","lucid_dma","lucid_state","isRandomized","berinskyACA","nyhanReifler","hksVitaminC","hksBioWeapon","hksHandWash","hksUSCreated","chinaCurrency","trumpBudget","olivIraq","oliv911","olivObama","olivContrails","olivSoros","demNormsAccept","demNormsViol","forBornUS","forBornCanada","shirker.allcGent","shirker.oliv","allcGentz.Beyonce.rally","allcGentz.Clinton.arms","allcGentz.Clinton.deplorables","allcGentz.Clinton.stumbled","allcGentz.FBI.Clinton.charges","allcGentz.FBI.agent","allcGentz.FBI.director","allcGentz.Ireland.asylum","allcGentz.Pence.vulgar","allcGentz.Pope.endorse","allcGentz.RuPaul","allcGentz.Trump.concede","response.allcGentz.Beyonce.rally","response.allcGentz.Clinton.arms","response.allcGentz.Clinton.deplorables","response.allcGentz.Clinton.stumbled","response.allcGentz.FBI.Clinton.charges","response.allcGentz.FBI.agent","response.allcGentz.FBI.director","response.allcGentz.Ireland.asylum","response.allcGentz.Pence.vulgar","response.allcGentz.Pope.endorse","response.allcGentz.RuPaul","response.allcGentz.Trump.concede","recode.chinaCurrency","recode.trumpBudget","recode.berinskyACA","recode.nyhanReifler","recode.hksVitaminC","recode.hksBioWeapon","recode.hksHandWash","recode.hksUSCreated","recode.demNormsAccept","recode.demNormsViol","recode.forBornUS","recode.forBornCanada","recode.olivIraq","recode.oliv911","recode.olivObama","recode.olivContrails","recode.olivSoros","recode.allcGentz.Beyonce.rally","recode.allcGentz.Clinton.arms","recode.allcGentz.Clinton.deplorables","recode.allcGentz.Clinton.stumbled","recode.allcGentz.FBI.Clinton.charges","recode.allcGentz.FBI.agent","recode.allcGentz.FBI.director","recode.allcGentz.Ireland.asylum","recode.allcGentz.Pence.vulgar","recode.allcGentz.Pope.endorse","recode.allcGentz.RuPaul","recode.allcGentz.Trump.concede","education","age","vconservative","party","vliberal","numeracy","wgt"
1334,50,50,"False","Agree","Probably false","Not sure","Definitely true","Definitely true","Strongly agree","Strongly disagree",0,14,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Vote for the Republican Donald Trump","5fe2471c-acfc-857e-d338-0a68422f70a0","66","1","2","1","1","7","2","1","16830","574","39","1","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","No, false","Yes, true","No, false","Yes, true","No, false","No, false","Yes, true","Yes, true","Yes, true","No, false","Not sure","No, false",50,50,"False","Agree","Probably false","Not sure","Definitely false","Definitely false","Strongly disagree","Strongly disagree",0,14,"Strongly disagree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Yes, true","No, false","Yes, true","Yes, true","No, false","No, false","Yes, true","No, false","No, false","No, false","Not sure","Yes, true",7,66,0,"Republican",0,1,1.0099548530942
1335,50,50,"True","Agree","Probably true","Definitely true","Definitely true","Definitely true","Somewhat agree","Strongly disagree",35.9,50.7,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Agree","Strongly disagree","Disagree","Vote for the Republican Donald Trump","5fe24c98-db08-61b9-3c85-1dbf39fa5dc8","85","1","5","1","1","2","2","3","29075","546","41","1","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","No, false","Not sure","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Not sure","Yes, true","Not sure","No, false",50,50,"True","Agree","Probably false","Definitely true","Definitely false","Definitely false","Somewhat agree","Strongly disagree",35.9,50.7,"Agree","Agree","Disagree","Strongly disagree","Agree","No, false","Not sure","No, false","Yes, true","No, false","Yes, true","Yes, true","Yes, true","Not sure","No, false","Not sure","Yes, true",2,85,0,"Republican",0,0,0.957543870478141
1336,3.5,10.2,"False","Neither agree nor disagree","Probably true","Definitely true","Definitely true","Definitely true","Somewhat agree","Strongly agree",13.5,82.1,"Established “death panels” which have the authority to determine whether or not a gravely ill or injured person should receive health care based on their “level of productivity in society.”","In the United States","Chemicals distributed by government agents","Agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Disagree","Vote for the Democrat Joe Biden","5fe24aa3-bb19-c7a1-59f4-2256d1ec0d9e","26","2","1","15","2","2","1","3","27407","518","34","1","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Not sure","No, false","Yes, true","No, false","Not sure","No, false","Not sure","Not sure","Yes, true","Not sure","Not sure","Yes, true",96.5,10.2,"True","Neither agree nor disagree","Probably false","Definitely true","Definitely true","Definitely false","Somewhat disagree","Strongly disagree",13.5,82.1,"Disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Disagree","Not sure","Yes, true","Yes, true","No, false","Not sure","Yes, true","Not sure","Not sure","No, false","Not sure","Not sure","No, false",2,26,1,"Democrat",0,0,0.663808163196431
1337,81.3,77.2,"False","Strongly agree","Probably false","Probably false","Probably true","Probably false","Somewhat disagree","Slightly agree",97.6,98.5,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Chemicals distributed by government agents","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Vote for a different candidate","5fe2480d-3344-36c2-0b3d-459c37937b01","63","1","13","16","1","4","4","2","54601","702","50","1","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Not sure","No, false","Not sure","Not sure","Yes, true","No, false","Yes, true","Not sure","Not sure","Not sure","Not sure","Yes, true",81.3,77.2,"False","Strongly agree","Probably false","Probably false","Probably true","Probably true","Somewhat agree","Slightly agree",2.40000000000001,1.5,"Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Not sure","Yes, true","Not sure","Not sure","Yes, true","No, false","Yes, true","Not sure","Not sure","Not sure","Not sure","Yes, true",4,63,0,"Independent",0,2,0.345989899725231
1338,97.4,99.9,"False","Agree","Definitely false","Definitely false","Definitely true","Definitely true","Strongly agree","Strongly disagree",24.7,10.9,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe247ce-6fa3-fd29-d6f1-d8ce94c64562","60","2","1","1","1","2","3","2","53213","617","50","1","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",TRUE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",2.59999999999999,0.0999999999999943,"True","Agree","Definitely false","Definitely true","Definitely false","Definitely false","Strongly agree","Strongly disagree",24.7,10.9,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",2,60,0,"Independent",0,0,0.645133408704056
1339,50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Definitely true","Definitely true","Somewhat disagree","Strongly agree",19.4,23.9,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","Disagree","Disagree","Strongly agree","Neither agree nor disagree","Vote for the Republican Donald Trump","5fe24ace-947b-3b47-3e56-28fc713b02c4","72","1","9","1","1","6","2","3","41017","515","18","1","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Not sure","Not sure","Yes, true","Not sure","No, false","Not sure","Yes, true","Not sure","No, false","Yes, true","Not sure","Not sure",50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Definitely false","Definitely false","Somewhat agree","Strongly disagree",19.4,23.9,"Disagree","Agree","Agree","Strongly disagree","Neither agree nor disagree","Not sure","Not sure","Yes, true","Not sure","Yes, true","Not sure","Yes, true","Not sure","No, false","No, false","Not sure","Not sure",6,72,0,"Republican",0,2,0.957543870478141
1340,79.3,79.7,"True","Agree","Definitely true","Probably true","Definitely true","Probably true","Somewhat agree","Strongly agree",67.6,94.7,"Established “death panels” which have the authority to determine whether or not a gravely ill or injured person should receive health care based on their “level of productivity in society.”","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Vote for the Republican Donald Trump","5fe24a97-b3aa-2138-bf6f-397cb3665d2b","30","1","17","1","1","6","1","4","92069","825","5","1","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Not sure","Yes, true","Yes, true","Yes, true","Yes, true","Not sure","No, false","Not sure","Yes, true","No, false","Not sure","Not sure",20.7,79.7,"True","Agree","Definitely true","Probably false","Definitely false","Probably true","Somewhat disagree","Strongly disagree",67.6,94.7,"Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Not sure","No, false","Yes, true","No, false","No, false","Not sure","No, false","Not sure","Yes, true","Yes, true","Not sure","Not sure",6,30,0,"Democrat",1,0,1.22621571387527
1341,50,50,"True","Agree","Definitely true","Not sure","Definitely true","Definitely false","Strongly agree","Strongly disagree",55.5,80.7,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Agree","Strongly agree","Disagree","Vote for the Republican Donald Trump","5fe24960-3091-2117-0293-d304e30d3a0e","75","2","13","1","1","4","2","3","78570","636","44","1","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","No, false","Not sure","Not sure","Yes, true","Yes, true","Not sure","Not sure","Not sure","No, false","Yes, true","Not sure","No, false",50,50,"False","Disagree","Definitely false","Not sure","Definitely false","Definitely false","Strongly agree","Strongly agree",44.5,19.3,"Disagree","Agree","Disagree","Strongly disagree","Disagree","Yes, true","Not sure","Not sure","No, false","Yes, true","Not sure","Not sure","Not sure","No, false","Yes, true","Not sure","No, false",4,75,1,"Republican",0,0,0.766530426783843
1342,50,78.3,"Not sure","Neither agree nor disagree","Probably true","Probably false","Definitely true","Probably true","Somewhat agree","Slightly disagree",29.4,65.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Vote for the Democrat Joe Biden","5fe248e6-fe64-a887-6bc0-37fab854dfc3","21","2","11","2","1","6","1","1","19143","504","39","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Not sure","Not sure","Yes, true","Yes, true","No, false","No, false","No, false","Not sure","Not sure","Yes, true","Yes, true","Yes, true",50,21.7,"Not sure","Neither agree nor disagree","Probably false","Probably true","Definitely false","Probably true","Somewhat agree","Slightly disagree",70.6,34.8,"Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Not sure","Not sure","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Not sure","Not sure","Yes, true","No, false","Yes, true",6,21,0,"Independent",0,0,0.594351555835364
1343,49.9,73.4,"False","Disagree","Definitely true","Probably true","Definitely true","Definitely false","Slightly agree","Strongly disagree",91.3,92.8,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Strongly agree","Agree","Agree","Strongly disagree","Vote for the Republican Donald Trump","5fe24901-0c55-6df5-abf4-680a92aea698","55","2","10","1","1","6","2","4","80915","752","6","1","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Yes, true","Yes, true","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","No, false","Not sure",49.9,73.4,"False","Disagree","Definitely false","Probably false","Definitely false","Definitely false","Slightly agree","Strongly disagree",8.7,7.2,"Disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Yes, true","No, false","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","No, false","Not sure",6,55,0,"Republican",0,0,1.23811856696587
1344,50,22.6,"True","Neither agree nor disagree","Probably true","Definitely false","Definitely false","Definitely false","Somewhat disagree","Slightly agree",26.7,49.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Wastewater from the airplane lavatory","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Vote for the Republican Donald Trump","5fe24a1d-7e7a-2eff-8d78-203184d4b904","68","2","13","1","1","6","2","4","98620","820","48","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Not sure","Yes, true","Yes, true","No, false","Yes, true","No, false","Yes, true","Yes, true","No, false","No, false","No, false","Yes, true",50,22.6,"True","Neither agree nor disagree","Probably true","Definitely true","Definitely false","Definitely false","Somewhat disagree","Slightly agree",26.7,49.2,"Disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Not sure","No, false","Yes, true","Yes, true","No, false","No, false","No, false","No, false","No, false","No, false","No, false","Yes, true",6,68,0,"Republican",0,0,1.07856128262739
1345,50,85.5,"False","Neither agree nor disagree","Definitely false","Probably false","Probably true","Definitely false","Strongly agree","Strongly agree",91,85.5,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Vote for the Democrat Joe Biden","5fe24c8c-cff9-d000-081e-c79b5e5ef3fd","58","1","-3105","1","1","7","1","4","98019","819","48","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","No, false","Not sure","Yes, true","Yes, true","Not sure","Not sure","Not sure","Not sure","Yes, true","Not sure","Yes, true","Not sure",50,85.5,"False","Neither agree nor disagree","Definitely false","Probably true","Probably false","Definitely false","Strongly agree","Strongly disagree",9,14.5,"Agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","No, false","Not sure","No, false","Yes, true","Not sure","Not sure","Not sure","Not sure","Yes, true","Not sure","Yes, true","Not sure",7,58,0,"Democrat",0,2,1.0394050185655
1346,50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Definitely true","Definitely false","Strongly agree","Strongly disagree",75.9,90.1,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Vote for the Democrat Joe Biden","5fe260ed-7bb4-14a5-729e-3bf5c3fa85e1","67","1","7","1","1","2","1","2","48910","551","23","1","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Not sure","Yes, true","Yes, true","Yes, true","No, false","Yes, true","Yes, true","Not sure","No, false","No, false","Yes, true","Yes, true",50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Definitely false","Definitely false","Strongly agree","Strongly disagree",24.1,9.90000000000001,"Neither agree nor disagree","Disagree","Strongly agree","Strongly disagree","Agree","Not sure","No, false","Yes, true","Yes, true","No, false","No, false","Yes, true","Not sure","Yes, true","No, false","Yes, true","Yes, true",2,67,0,"Democrat",0,0,0.702039267968476
1347,51.7,71.3,"True","Strongly disagree","Probably true","Definitely false","Definitely false","Definitely true","Strongly disagree","Strongly disagree",85.1,77.6,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Not vote in the presidential election","5fe261c6-f5fa-02e2-d49e-e79f38f67e7e","45","1","1","15","1","6","1","3","24060","573","47","1","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Yes, true","Yes, true","Yes, true","No, false","No, false","No, false","Yes, true","Not sure","Not sure","Not sure","Yes, true","Yes, true",48.3,71.3,"False","Strongly disagree","Probably false","Definitely false","Definitely false","Definitely false","Strongly agree","Strongly disagree",14.9,22.4,"Neither agree nor disagree","Agree","Strongly disagree","Strongly disagree","Disagree","Yes, true","No, false","Yes, true","Yes, true","No, false","No, false","Yes, true","Not sure","Not sure","Not sure","No, false","No, false",6,45,0,"Democrat",0,3,1.45554855634803
1348,50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Probably true","Probably false","Strongly agree","Strongly agree",21.6,22.8,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Vote for the Republican Donald Trump","5fe26355-0da8-1c80-83a8-24ce99f30b44","38","1","1","1","1","4","2","3","24112","573","47","1","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",TRUE,TRUE,"Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",50,50,"Not sure","Neither agree nor disagree","Not sure","Not sure","Probably false","Probably false","Strongly agree","Strongly disagree",21.6,22.8,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",4,38,0,"Republican",0,0,0.854374859000727
1349,71.8,86.9,"True","Agree","Definitely false","Probably true","Definitely false","Definitely true","Somewhat disagree","Strongly agree",77.6,28.5,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Vote for the Democrat Joe Biden","5fe26326-7b1a-91be-8e8a-0490cdc10c11","64","1","4","1","1","2","2","2","43920","536","36","1","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Yes, true","Yes, true","Not sure","Yes, true","No, false","Not sure","Yes, true","No, false","Not sure","Yes, true","Not sure","Yes, true",71.8,86.9,"True","Disagree","Definitely false","Probably true","Definitely true","Definitely false","Somewhat agree","Strongly disagree",22.4,71.5,"Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes, true","No, false","Not sure","Yes, true","No, false","Not sure","No, false","Yes, true","Not sure","No, false","Not sure","No, false",2,64,0,"Republican",0,0,0.805895656010846
1350,45.9,39,"False","Agree","Probably true","Probably true","Probably true","Probably false","Slightly agree","Slightly agree",29,24.5,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Not vote in the presidential election","5fe263be-a5cb-1784-6fb7-e80bcf1cdff1","55","1","5","1","1","2","2","2","63701","632","26","1","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",TRUE,FALSE,"Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",54.1,39,"True","Agree","Probably true","Probably true","Probably false","Probably true","Slightly disagree","Slightly disagree",29,24.5,"Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",2,55,0,"Republican",0,0,2.05601198902308
1351,62.5,68.5,"False","Neither agree nor disagree","Definitely true","Definitely true","Not sure","Definitely false","Somewhat agree","Somewhat agree",46.3,38.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Agree","Agree","Disagree","Vote for the Democrat Joe Biden","5fe263e8-0389-ab9e-bbd1-77fe722f2171","20","2","-3105","15","1","4","1","2","66601","605","17","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","No, false","Not sure","Not sure","No, false","Not sure","Not sure","Not sure","Not sure","No, false","Yes, true","No, false","Not sure",62.5,68.5,"False","Neither agree nor disagree","Definitely false","Definitely false","Not sure","Definitely false","Somewhat agree","Somewhat disagree",46.3,38.2,"Disagree","Disagree","Disagree","Disagree","Disagree","Yes, true","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Yes, true","No, false","No, false","Not sure",4,20,0,"Independent",0,0,0.359092641614633
